,citizen_network_size,network_discount_factor,seed,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
163,30,0.33,4,163,0,354,771,4,0.0158311345646438,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
164,30,0.33,5,164,0,17,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
165,30,0.33,6,165,0,25,1078,6,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
166,30,0.33,7,166,0,18,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
167,30,0.33,8,167,1,66,1075,8,0.01384083044982699,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
168,30,0.33,9,168,1,420,703,9,0.021872265966754154,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
169,30,0.33,10,169,0,203,910,10,0.01412180052956752,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
170,30,0.5,1,170,0,14,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
171,30,0.5,2,171,0,22,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
172,30,0.5,3,172,0,296,812,3,0.018518518518518517,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
173,30,0.5,4,173,0,242,873,4,0.01759014951627089,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
174,30,0.5,5,174,0,20,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
175,30,0.5,6,175,0,25,1078,6,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
176,30,0.5,7,176,0,18,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
177,30,0.5,8,177,0,24,1132,8,0.0025951557093425604,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
178,30,0.5,9,178,1,22,1119,9,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
179,30,0.5,10,179,26,75,1027,10,0.03442188879082083,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
180,30,0.66,1,180,0,14,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
181,30,0.66,2,181,0,22,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
182,30,0.66,3,182,0,24,1108,3,0.0026455026455026454,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
183,30,0.66,4,183,0,169,952,4,0.010554089709762533,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
184,30,0.66,5,184,0,20,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
185,30,0.66,6,185,0,25,1078,6,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
186,30,0.66,7,186,0,18,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
187,30,0.66,8,187,0,21,1133,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
188,30,0.66,9,188,0,26,1116,9,0.0026246719160104987,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
189,30,0.66,10,189,13,64,1055,10,0.02118270079435128,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
